; Fri, 15 May 2015, 18:37:42

AX-89781187:nmh        91.961  ; 11287

AX-89781094:nmh        92.931  ; 11288

AX-89876611:nmh        93.901  ; 11289

AX-89819474:nmh        96.844  ; 11290

AX-89876590:nmh        98.796  ; 11291

AX-89888784:nmh        99.766  ; 11292

AX-89819326:nmh        99.766  ; 11293

AX-89876483:nmh       100.736  ; 11294

AX-89823517:ph3       101.706  ; 11295

AX-89876566:nmh       102.677  ; 11296

AX-89879703:nmh       104.115  ; 11297

AX-89880621:ph3       104.539  ; 11298

AX-89819308:ph3       105.079  ; 11299

AX-89880587:ph3       106.222  ; 11300

AX-89880616:nmh       106.232  ; 11301

AX-89783977:nmh       106.605  ; 11302

AX-89867565:ph3       106.985  ; 11303

AX-89822538:ph3       108.597  ; 11304

AX-89879705:nmh       108.782  ; 11305

AX-89879660:nmh       109.876  ; 11306

AX-89879673:ph3       109.876  ; 11307

AX-89822494:nmh       110.712  ; 11308

AX-89879653:nmh       111.139  ; 11309

AX-89822476:nmh       111.555  ; 11310

AX-89822478:ph3       111.564  ; 11311

AX-89880092:nmh       112.954  ; 11312

AX-89822995:ph3       112.954  ; 11313

AX-89880078:ph3       113.232  ; 11314

AX-89783588:ph3       113.232  ; 11315

AX-89783567:nmh       113.370  ; 11316

AX-89867799:ph3       113.509  ; 11317

AX-89837672:nmh       114.070  ; 11318

AX-89880002:nmh       114.352  ; 11319

AX-89904528:ph3       114.630  ; 11320

AX-89821845:ph3       114.659  ; 11321

AX-89879965:ph3       114.688  ; 11322

AX-89880049:nmh       115.215  ; 11323

AX-89876755:ph3       117.937  ; 11324

AX-89821227:nmh       118.135  ; 11325

AX-89781801:ph3       118.611  ; 11326

AX-89781652:ph3       118.611  ; 11327

AX-89860946:nmh       118.611  ; 11328

AX-89784005:ph3       119.788  ; 11329

AX-89784029:ph3       120.293  ; 11330

AX-89822648:nmh       121.339  ; 11331

AX-89879734:ph3       121.691  ; 11332

AX-89907639:nmh       121.691  ; 11333

AX-89879819:nmh       121.691  ; 11334

AX-89880360:ph3       121.691  ; 11335

AX-89880327:nmh       122.062  ; 11336

AX-89880316:ph3       122.433  ; 11337

AX-89806843:ph2       123.178  ; 11338

AX-89823132:nmh       123.178  ; 11339

AX-89823126:nmh       123.549  ; 11340

AX-89823133:ph3       123.920  ; 11341

AX-89783701:ph3       124.059  ; 11342

AX-89904651:ph3       124.198  ; 11343

AX-89783694:ph3       124.198  ; 11344

AX-89822604:ph3       124.754  ; 11345

AX-89879957:nmh       125.310  ; 11346

AX-89880571:ph3       125.313  ; 11347

AX-89822678:ph3       126.429  ; 11348

AX-89783428:ph3       126.429  ; 11349

AX-89865437:ph3       127.892  ; 11350

AX-89822754:nmh       129.309  ; 11351

AX-89783444:ph3       129.561  ; 11352

AX-89825211:ph3       130.090  ; 11353

AX-89879918:nmh       130.584  ; 11354

AX-89847541:ph3       130.698  ; 11355

AX-89879917:nmh       131.095  ; 11356

AX-89822701:nmh       131.606  ; 11357

AX-89882354:nmh       131.922  ; 11358

AX-89879861:nmh       132.117  ; 11359

AX-89882266:nmh       133.146  ; 11360

AX-89785409:ph3       133.146  ; 11361

AX-89850221:ph3       134.840  ; 11362

AX-89799113:ph3       135.399  ; 11363

AX-89799124:nmh       135.399  ; 11364

AX-89850228:ph3       136.253  ; 11365

AX-89799116:ph3       136.534  ; 11366

AX-89799115:ph3       136.534  ; 11367

AX-89850226:ph3       138.196  ; 11368

AX-89783800:ph3       139.314  ; 11369

AX-89783894:nmh       139.869  ; 11370

AX-89783892:nmh       140.425  ; 11371

AX-89783888:ph3       141.542  ; 11372

AX-89880358:nmh       142.388  ; 11373

AX-89863077:nmh       142.665  ; 11374

AX-89783829:nmh       144.085  ; 11375



group 2C



AX-89823222:nmh         0.000  ; 11513

AX-89783805:nmh         0.561  ; 11514

AX-89860970:nmh         0.561  ; 11515

AX-89783844:nmh         1.117  ; 11516

AX-89880366:nmh         2.234  ; 11517

AX-89783896:nmh         2.790  ; 11518

AX-89823214:nmh         3.907  ; 11519

AX-89783781:ph3         4.429  ; 11520

AX-89799155:nmh         5.327  ; 11521

AX-89823330:nmh         6.055  ; 11522

AX-89799128:nmh         6.582  ; 11523

AX-89882343:nmh         6.582  ; 11524

AX-89863080:ph2         6.582  ; 11525

AX-89783478:ph3         7.641  ; 11526

AX-89785488:nmh         8.167  ; 11527

AX-89822760:nmh         8.167  ; 11528

AX-89847524:ph3        32.194  ; 11529

AX-89907616:nmh        32.194  ; 11530

AX-89847517:ph3        32.720  ; 11531

AX-89819934:nmh        36.100  ; 11532

AX-89819906:nmh        36.688  ; 11533

AX-89877066:nmh        38.472  ; 11534

AX-89862831:nmh        41.481  ; 11535

AX-89860724:nmh        42.069  ; 11536

AX-89872312:ph3        45.556  ; 11537

AX-89781347:nmh        46.280  ; 11538

AX-89781330:nmh        47.463  ; 11539

AX-89847258:ph3        48.646  ; 11540

AX-89905221:ph3        49.234  ; 11541

AX-89876864:nmh        51.627  ; 11542

AX-89860715:nmh        52.215  ; 11543

AX-89781277:nmh        53.398  ; 11544

AX-89847252:ph3        55.790  ; 11545

AX-89820045:nmh        57.575  ; 11546

AX-89820137:nmh        58.758  ; 11547

AX-89867628:nmh        59.346  ; 11548

AX-89877272:nmh        59.934  ; 11549

AX-89855013:nmh        60.522  ; 11550

AX-89781730:nmh        61.705  ; 11551

AX-89820320:nmh        62.888  ; 11552

AX-89877458:nmh        63.476  ; 11553

AX-89820346:nmh        64.070  ; 11554

AX-89781842:nmh        65.860  ; 11555

AX-89781828:nmh        66.449  ; 11556

AX-89877561:nmh        67.631  ; 11557

AX-89820402:ph3        68.220  ; 11558

AX-89820444:ph3        68.808  ; 11559

AX-89803533:nmh        69.396  ; 11560

AX-89806665:ph2        70.579  ; 11561

AX-89781950:nmh        70.579  ; 11562

AX-89781935:ph3        71.173  ; 11563

AX-89820558:ph3        71.998  ; 11564

AX-89877754:ph3        71.998  ; 11565

AX-89781993:nmh        72.861  ; 11566

AX-89782067:nmh        73.396  ; 11567

AX-89879448:ph3        75.570  ; 11568

AX-89783212:nmh        75.847  ; 11569

AX-89783142:nmh        76.125  ; 11570

AX-89837575:nmh        76.266  ; 11571

AX-89853114:ph3        76.403  ; 11572

AX-89837579:ph3        76.962  ; 11573

AX-89837595:ph3        77.242  ; 11574

AX-89894811:ph3        77.798  ; 11575

AX-89795600:nmh        78.359  ; 11576

AX-89837659:nmh        78.920  ; 11577

AX-89894889:ph3        80.606  ; 11578

AX-89820928:nmh        81.161  ; 11579

AX-89878090:nmh        81.161  ; 11580

AX-89820966:ph3        81.717  ; 11581

AX-89847349:ph3        82.272  ; 11582

AX-89877916:ph3        82.828  ; 11583

AX-89820782:ph3        83.383  ; 11584

AX-89782165:ph3        83.939  ; 11585

AX-89782823:nmh        85.624  ; 11586

AX-89821722:ph3        86.742  ; 11587

AX-89821623:nmh        87.859  ; 11588

AX-89878771:nmh        88.415  ; 11589

AX-89855339:nmh        88.970  ; 11590

AX-89782678:nmh        89.526  ; 11591

AX-89904518:ph3        90.081  ; 11592

AX-89782670:nmh        91.767  ; 11593

AX-89782534:nmh        93.453  ; 11594

AX-89803635:nmh        94.570  ; 11595

AX-89782557:nmh        95.125  ; 11596

AX-89878505:nmh        95.681  ; 11597

AX-89821277:ph3        97.367  ; 11598

AX-89782492:nmh        98.484  ; 11599

AX-89783034:nmh        99.040  ; 11600

AX-89783040:nmh        99.595  ; 11601

AX-89879235:nmh       100.712  ; 11602

AX-89821983:nmh       111.635  ; 11603

AX-89879071:nmh       112.752  ; 11604

AX-89821858:nmh       113.870  ; 11605

AX-89821823:ph3       114.425  ; 11606

AX-89782892:nmh       114.992  ; 11607

group 2D



AX-89820578:nmh         0.000  ; 1601

AX-89820455:ph3         0.000  ; 1602

AX-89820395:ph3         0.000  ; 1603

AX-89823235:nmh         0.278  ; 1604

AX-89781917:ph3         0.836  ; 1605

AX-89820552:ph3         0.836  ; 1606

AX-89820356:nmh         2.521  ; 1607

AX-89781818:ph3         2.869  ; 1608

AX-89820302:ph3         4.216  ; 1609

AX-89820339:ph3         4.216  ; 1610

AX-89862858:ph3         4.216  ; 1611

AX-89877452:nmh         4.216  ; 1612

AX-89877399:ph3         5.336  ; 1613

AX-89860755:nmh         5.336  ; 1614

AX-89820287:ph3         5.336  ; 1615

AX-89820275:ph3         5.614  ; 1616

AX-89862852:nmh         6.359  ; 1617

AX-89820206:nmh         7.483  ; 1618

AX-89829135:nmh         8.229  ; 1619

AX-89877327:nmh         8.981  ; 1620

AX-89781633:ph3         9.193  ; 1621

AX-89877303:ph3         9.720  ; 1622

AX-89877250:ph3        10.091  ; 1623

AX-89877264:ph3        10.091  ; 1624

AX-89781628:nmh        10.091  ; 1625

AX-89877323:ph3        11.785  ; 1626

AX-89877171:nmh        13.614  ; 1627

AX-89781642:nmh        13.847  ; 1628

AX-89877182:nmh        14.364  ; 1629

AX-89781545:ph3        15.159  ; 1630

AX-89910906:nmh        15.867  ; 1631

AX-89820085:nmh        17.210  ; 1632

AX-89876891:nmh        18.064  ; 1633

AX-89781619:nmh        19.927  ; 1634

AX-89819708:nmh        19.999  ; 1635

AX-89904367:ph3        21.442  ; 1636

AX-89819752:nmh        22.399  ; 1637

AX-89904376:ph3        22.498  ; 1638

AX-89819690:nmh        23.700  ; 1639

AX-89781260:nmh        24.368  ; 1640

AX-89819832:ph3        25.030  ; 1641

AX-89781320:nmh        25.033  ; 1642

AX-89781358:nmh        25.675  ; 1643

AX-89876972:nmh        26.641  ; 1644

AX-89819861:nmh        26.959  ; 1645

AX-89876990:nmh        27.276  ; 1646

AX-89809285:ph3        27.276  ; 1647

AX-89781410:nmh        27.764  ; 1648

AX-89819892:nmh        27.764  ; 1649

AX-89877008:nmh        28.745  ; 1650

AX-89877018:nmh        29.233  ; 1651

AX-89819930:ph3        29.233  ; 1652

AX-89877003:nmh        29.650  ; 1653

AX-89847274:ph3        30.066  ; 1654

AX-89877117:nmh        30.066  ; 1655

AX-89904384:ph3        30.066  ; 1656

AX-89819924:nmh        30.066  ; 1657

AX-89877111:nmh        30.690  ; 1658

AX-89781189:nmh        31.074  ; 1659

AX-89847235:ph3        32.582  ; 1660

AX-89867578:ph3        32.588  ; 1661

AX-89872306:nmh        33.331  ; 1662

AX-89819496:ph3        33.703  ; 1663

AX-89781151:nmh        34.189  ; 1664

AX-89904354:ph3        35.666  ; 1665

AX-89781051:ph3        35.666  ; 1666

AX-89910787:nmh        35.666  ; 1667

AX-89876597:nmh        36.509  ; 1668

AX-89781031:ph3        37.352  ; 1669

AX-89822527:nmh        39.573  ; 1670

AX-89819413:nmh        39.814  ; 1671

AX-89847213:ph3        41.039  ; 1672

AX-89876464:nmh        41.039  ; 1673

AX-89876462:ph3        41.642  ; 1674

AX-89823511:nmh        42.981  ; 1675

AX-89823504:ph3        42.981  ; 1676

AX-89876432:nmh        42.981  ; 1677

AX-89823448:ph3        43.047  ; 1678

AX-89822542:nmh        43.353  ; 1679

AX-89823425:nmh        44.102  ; 1680

AX-89847515:ph3        45.231  ; 1681

AX-89879726:ph3        45.238  ; 1682

AX-89822910:nmh        47.165  ; 1683

AX-89803780:nmh        47.636  ; 1684

AX-89855340:ph3        48.584  ; 1685

AX-89878806:nmh        49.055  ; 1686

AX-89821142:nmh        49.527  ; 1687

AX-89821180:nmh        49.998  ; 1688

AX-89877844:nmh        50.134  ; 1689

AX-89877222:nmh        50.469  ; 1690

AX-89820713:nmh        50.811  ; 1691

AX-89876924:nmh        50.940  ; 1692

AX-89862802:nmh        51.411  ; 1693

AX-89880577:nmh        52.359  ; 1694

AX-89821838:ph3        52.359  ; 1695

AX-89803816:nmh        52.830  ; 1696

AX-89823062:ph3        53.778  ; 1697

AX-89880191:nmh        54.249  ; 1698

AX-89783671:ph3        54.249  ; 1699

AX-89823413:ph3        55.197  ; 1700

AX-89806796:ph3        55.668  ; 1701

AX-89783401:nmh        56.139  ; 1702

AX-89825163:nmh        57.569  ; 1703

AX-89880481:nmh        58.040  ; 1704

AX-89783278:nmh        58.040  ; 1705

AX-89882341:nmh        58.511  ; 1706

AX-89785398:nmh        59.464  ; 1707

AX-89804021:nmh        60.416  ; 1708

AX-89799109:nmh        61.846  ; 1709

AX-89799150:nmh        62.317  ; 1710

AX-89799144:nmh        62.317  ; 1711

AX-89789689:nmh        64.234  ; 1712

AX-89806866:nmh        64.318  ; 1713

AX-89880469:ph2        65.181  ; 1714

AX-89867816:nmh        65.181  ; 1715

AX-89823313:nmh        65.653  ; 1716

AX-89880344:nmh        66.600  ; 1717

AX-89880460:ph3        67.548  ; 1718

AX-89823305:nmh        67.548  ; 1719

AX-89782057:ph3        68.496  ; 1720

AX-89873653:nmh        68.496  ; 1721

AX-89879572:ph3        71.621  ; 1722

AX-89879386:nmh        72.193  ; 1723

AX-89904551:ph3        72.193  ; 1724

AX-89783251:nmh        72.749  ; 1725

AX-89905982:ph3        73.310  ; 1726

AX-89868662:nmh        73.310  ; 1727

AX-89795630:nmh        75.571  ; 1728

AX-89795670:ph3        77.618  ; 1729

AX-89862909:ph3        78.956  ; 1730

AX-89914460:nmh        78.956  ; 1731

AX-89782278:nmh        79.511  ; 1732

AX-89803584:nmh        80.067  ; 1733

AX-89877984:nmh        81.752  ; 1734

AX-89877975:nmh        82.870  ; 1735

AX-89782179:ph3        84.555  ; 1736

AX-89820743:nmh        85.673  ; 1737

AX-89782112:ph3        86.790  ; 1738

AX-89847417:ph3        87.346  ; 1739

AX-89782779:nmh        87.901  ; 1740

AX-89782730:nmh        89.019  ; 1741

AX-89904521:ph3        89.574  ; 1742

AX-89904513:ph3        90.691  ; 1743

AX-89878631:ph3        91.247  ; 1744

AX-89821436:ph3        92.364  ; 1745

AX-89878589:ph3        92.920  ; 1746

AX-89878536:ph3        93.476  ; 1747

AX-89907492:nmh        93.476  ; 1748

AX-89821392:ph3        94.031  ; 1749

AX-89904486:ph3        96.873  ; 1750

AX-89782393:ph3        97.990  ; 1751

AX-89798552:nmh        98.546  ; 1752

AX-89821110:ph3        99.101  ; 1753

AX-89878168:nmh       100.219  ; 1754

AX-89822075:nmh       103.060  ; 1755

AX-89878145:nmh       103.616  ; 1756

AX-89879205:nmh       104.733  ; 1757

group 3A



AX-89881081:ph3         0.000  ; 8492

AX-89823942:ph3         0.564  ; 8493

AX-89847703:ph3         0.842  ; 8494

AX-89881154:ph3         1.122  ; 8495

AX-89881164:ph3         1.400  ; 8496

AX-89881194:ph3         1.678  ; 8497

AX-89881188:ph3         1.678  ; 8498

AX-89784354:ph3         2.794  ; 8499

AX-89784331:ph3         3.091  ; 8500

AX-89881041:ph3         3.697  ; 8501

AX-89784202:ph3         6.192  ; 8502

AX-89863125:ph3         6.470  ; 8503

AX-89823813:ph3         6.879  ; 8504

AX-89880959:ph3         7.306  ; 8505

AX-89791301:ph3         7.727  ; 8506

AX-89828381:ph3         8.148  ; 8507

AX-89863263:nmh         9.851  ; 8508

AX-89825552:ph2         9.851  ; 8509

AX-89831834:ph3        12.134  ; 8510

AX-89831869:ph3        12.442  ; 8511

AX-89831854:nmh        12.688  ; 8512

AX-89791292:ph3        12.688  ; 8513

AX-89787980:ph3        14.380  ; 8514

AX-89807090:ph3        14.899  ; 8515

AX-89825555:nmh        15.497  ; 8516

AX-89863257:ph3        15.497  ; 8517

AX-89785744:ph3        15.497  ; 8518

AX-89882700:nmh        15.497  ; 8519

AX-89905066:ph3        15.791  ; 8520

AX-89904854:ph3        16.495  ; 8521

AX-89785900:ph3        18.312  ; 8522

AX-89825614:ph3        18.312  ; 8523

AX-89825663:ph3        18.590  ; 8524

AX-89785841:ph3        18.868  ; 8525

AX-89825607:nmh        19.880  ; 8526

AX-89785919:ph3        20.115  ; 8527

AX-89804060:nmh        20.489  ; 8528

AX-89890253:nmh        22.426  ; 8529

AX-89825792:ph3        22.426  ; 8530

AX-89785944:ph3        22.802  ; 8531

AX-89890277:ph2        22.894  ; 8532

AX-89890230:ph3        23.361  ; 8533

AX-89832984:ph3        23.361  ; 8534

AX-89833012:ph3        23.848  ; 8535

AX-89861606:nmh        24.006  ; 8536

AX-89863853:nmh        24.336  ; 8537

AX-89856269:nmh        25.316  ; 8538

AX-89856271:nmh        25.316  ; 8539

AX-89828323:ph3        25.873  ; 8540

AX-89905487:ph3        26.480  ; 8541

AX-89883149:ph3        27.551  ; 8542

AX-89786122:ph3        27.551  ; 8543

AX-89786126:ph3        27.551  ; 8544

AX-89883077:ph3        28.250  ; 8545

AX-89804102:ph3        28.949  ; 8546

AX-89851996:nmh        29.088  ; 8547

AX-89883094:ph3        29.227  ; 8548

AX-89786081:ph3        29.227  ; 8549

AX-89883086:ph3        29.610  ; 8550

AX-89847935:ph3        30.235  ; 8551

AX-89854003:nmh        31.170  ; 8552

AX-89882975:ph3        31.193  ; 8553

AX-89912147:nmh        32.122  ; 8554

AX-89802250:nmh        34.888  ; 8555

AX-89845875:ph3        34.896  ; 8556

AX-89903281:ph3        36.402  ; 8557

AX-89902900:nmh        38.021  ; 8558

AX-89787526:ph3        38.021  ; 8559

AX-89884963:ph3        39.909  ; 8560

AX-89787576:nmh        40.278  ; 8561

AX-89827852:ph3        40.278  ; 8562

AX-89804269:nmh        41.965  ; 8563

AX-89787631:ph3        41.968  ; 8564

AX-89807325:ph3        42.804  ; 8565

AX-89885105:ph3        42.804  ; 8566

AX-89827964:ph3        43.141  ; 8567

AX-89848226:ph3        43.478  ; 8568

AX-89885064:ph3        43.792  ; 8569

AX-89885167:nmh        44.995  ; 8570

AX-89828011:ph3        45.074  ; 8571

AX-89787847:nmh        46.102  ; 8572

AX-89787849:nmh        46.653  ; 8573

AX-89828165:ph3        47.203  ; 8574

AX-89905042:ph3        47.554  ; 8575

AX-89828157:ph3        47.554  ; 8576

AX-89828067:nmh        48.916  ; 8577

AX-89885168:ph3        49.820  ; 8578

AX-89828080:ph3        50.269  ; 8579

AX-89807347:nmh        52.829  ; 8580

AX-89804295:ph3        54.123  ; 8581

AX-89828257:nmh        54.848  ; 8582

AX-89828295:nmh        55.792  ; 8583

AX-89848244:ph3        56.232  ; 8584

AX-89828261:ph3        57.024  ; 8585

AX-89787942:ph3        57.497  ; 8586

AX-89827711:nmh        59.098  ; 8587

AX-89787461:ph3        59.733  ; 8588

AX-89884817:ph3        59.752  ; 8589

AX-89912556:nmh        60.458  ; 8590

AX-89787486:nmh        61.146  ; 8591

AX-89787484:ph3        61.150  ; 8592

AX-89884868:nmh        63.258  ; 8593

AX-89827426:ph3        64.300  ; 8594

AX-89787509:nmh        64.300  ; 8595

AX-89912482:nmh        64.618  ; 8596

AX-89827472:nmh        64.935  ; 8597

AX-89827483:nmh        65.573  ; 8598

AX-89884607:nmh        65.891  ; 8599

AX-89884613:nmh        66.208  ; 8600

AX-89827621:ph3        66.526  ; 8601

AX-89870785:nmh        66.526  ; 8602

AX-89827499:ph3        66.526  ; 8603

AX-89807290:ph3        66.717  ; 8604

AX-89884595:nmh        66.855  ; 8605

AX-89827485:nmh        67.301  ; 8606

AX-89884653:nmh        68.198  ; 8607

AX-89787330:nmh        68.198  ; 8608

AX-89827510:ph3        68.198  ; 8609

AX-89827529:nmh        68.576  ; 8610

AX-89804239:ph3        69.243  ; 8611

AX-89787343:nmh        69.724  ; 8612

AX-89884459:ph3        70.102  ; 8613

AX-89827334:nmh        70.102  ; 8614

AX-89861226:ph3        70.288  ; 8615

AX-89884456:nmh        70.863  ; 8616

AX-89827255:nmh        72.011  ; 8617

AX-89904998:nmh        72.011  ; 8618

AX-89787133:nmh        72.390  ; 8619

AX-89884448:ph3        72.390  ; 8620

AX-89787123:ph3        72.528  ; 8621

AX-89861052:ph3        72.667  ; 8622

AX-89884435:nmh        73.141  ; 8623

AX-89785358:ph3        75.987  ; 8624

AX-89883576:nmh        76.445  ; 8625

AX-89882022:ph3        76.840  ; 8626

AX-89807163:nmh        77.146  ; 8627

AX-89904786:ph3        77.465  ; 8628

AX-89824795:ph3        78.536  ; 8629

AX-89807198:nmh        78.754  ; 8630

AX-89882495:ph3        79.993  ; 8631

AX-89827042:nmh        80.272  ; 8632

AX-89785663:ph3        80.551  ; 8633

AX-89863359:nmh        81.101  ; 8634

AX-89904890:ph3        84.610  ; 8635

AX-89785791:ph3        84.845  ; 8636

AX-89784329:ph2        86.017  ; 8637

AX-89882814:nmh        86.515  ; 8638

AX-89825674:nmh        86.515  ; 8639

AX-89884262:nmh        86.537  ; 8640

AX-89807225:ph3        86.537  ; 8641

AX-89826683:nmh        87.056  ; 8642

AX-89848148:ph3        88.387  ; 8643

AX-89786958:nmh        88.811  ; 8644

AX-89884232:nmh        88.811  ; 8645

AX-89824543:ph3        89.232  ; 8646

AX-89884284:nmh        89.434  ; 8647

AX-89827157:nmh        89.434  ; 8648

AX-89826921:ph3        89.733  ; 8649

AX-89827264:nmh        90.741  ; 8650

AX-89787290:ph3        90.741  ; 8651

AX-89870332:nmh        91.242  ; 8652

AX-89892342:ph2        92.623  ; 8653

AX-89787196:nmh        92.762  ; 8654

AX-89883983:nmh        93.246  ; 8655

AX-89884631:ph3        93.263  ; 8656

AX-89786937:nmh        94.500  ; 8657

AX-89881779:nmh        94.500  ; 8658

AX-89904962:ph3        94.500  ; 8659

AX-89786927:nmh        95.062  ; 8660

AX-89786825:ph3        95.929  ; 8661

AX-89827056:ph3        96.485  ; 8662

AX-89785507:ph3        99.915  ; 8663

AX-89882023:ph3       101.032  ; 8664

AX-89787134:nmh       103.327  ; 8665

AX-89861244:nmh       121.796  ; 8666







group 3B



AX-89883951:nmh         0.000  ; 8903

AX-89883539:nmh         1.117  ; 8904

AX-89863331:nmh         1.673  ; 8905

AX-89826802:nmh         2.790  ; 8906

AX-89826886:nmh         3.665  ; 8907

AX-89786874:nmh         4.462  ; 8908

AX-89826442:nmh         5.017  ; 8909

AX-89883522:nmh         6.135  ; 8910

AX-89786743:nmh         7.252  ; 8911

AX-89883909:nmh         8.369  ; 8912

AX-89826774:nmh         8.925  ; 8913

AX-89826769:nmh         9.480  ; 8914

AX-89786695:nmh        11.166  ; 8915

AX-89883767:nmh        12.283  ; 8916

AX-89883793:nmh        12.845  ; 8917

AX-89807197:nmh        13.968  ; 8918

AX-89786578:nmh        15.085  ; 8919

AX-89826552:nmh        16.202  ; 8920

AX-89826565:nmh        16.758  ; 8921

AX-89786514:nmh        17.313  ; 8922

AX-89883599:nmh        18.431  ; 8923

AX-89824937:nmh        19.548  ; 8924

AX-89785304:nmh        21.234  ; 8925

AX-89825029:nmh        22.351  ; 8926

AX-89882137:nmh        23.468  ; 8927

AX-89824963:nmh        24.024  ; 8928

AX-89851905:nmh        24.580  ; 8929

AX-89882545:nmh        25.135  ; 8930

AX-89785376:nmh        25.691  ; 8931

AX-89882524:nmh        26.246  ; 8932

AX-89825334:nmh        26.246  ; 8933

AX-89904851:ph3        26.802  ; 8934

AX-89825221:ph3        27.357  ; 8935

AX-89882613:ph3        28.475  ; 8936

AX-89847901:ph3        29.176  ; 8937

AX-89897736:nmh        31.286  ; 8938

AX-89826104:nmh        32.403  ; 8939

AX-89861142:nmh        32.403  ; 8940

AX-89881889:nmh        34.664  ; 8941

AX-89830366:nmh        36.797  ; 8942

AX-89795897:ph3        37.475  ; 8943

AX-89887535:nmh        37.475  ; 8944

AX-89830359:ph3        38.031  ; 8945

AX-89799210:ph3        40.291  ; 8946

AX-89786151:ph3        41.026  ; 8947

AX-89884249:ph3        41.203  ; 8948

AX-89824636:ph3        41.761  ; 8949

AX-89906478:ph3        41.928  ; 8950

AX-89784851:ph3        42.038  ; 8951

AX-89787517:ph3        42.316  ; 8952

AX-89826044:nmh        43.268  ; 8953

AX-89799208:ph3        44.292  ; 8954

AX-89884888:ph3        44.777  ; 8955

AX-89827006:ph3        47.484  ; 8956

AX-89884222:nmh        47.484  ; 8957

AX-89827071:nmh        47.870  ; 8958

AX-89786979:ph3        48.318  ; 8959

AX-89884237:nmh        48.406  ; 8960

AX-89784974:nmh        49.517  ; 8961

AX-89881721:ph3        49.921  ; 8962

AX-89784986:nmh        50.069  ; 8963

AX-89881842:ph3        51.113  ; 8964

AX-89784935:nmh        51.456  ; 8965

AX-89904778:ph3        51.694  ; 8966

AX-89822109:ph3        52.228  ; 8967

AX-89783086:nmh        53.074  ; 8968

AX-89851606:nmh        53.708  ; 8969

AX-89822308:nmh        53.850  ; 8970

AX-89783189:ph3        54.740  ; 8971

AX-89879493:nmh        54.872  ; 8972

AX-89783162:nmh        55.196  ; 8973

AX-89783244:nmh        55.847  ; 8974

AX-89851634:nmh        55.890  ; 8975

AX-89823232:nmh        56.499  ; 8976

AX-89861560:nmh        57.816  ; 8977

AX-89822365:nmh        57.843  ; 8978

AX-89824351:nmh        59.473  ; 8979

AX-89783143:ph3        59.796  ; 8980

AX-89824344:ph3        59.796  ; 8981

AX-89855509:nmh        60.213  ; 8982

AX-89904720:ph3        60.630  ; 8983

AX-89824267:ph3        60.630  ; 8984

AX-89784701:nmh        61.019  ; 8985

AX-89806973:ph3        61.766  ; 8986

AX-89855474:ph3        62.581  ; 8987

AX-89824230:ph3        62.581  ; 8988

AX-89824193:ph3        63.417  ; 8989

AX-89824191:ph3        63.695  ; 8990

AX-89847715:ph3        64.254  ; 8991

AX-89824104:ph3        64.531  ; 8992

AX-89784490:ph3        64.531  ; 8993

AX-89824007:ph3        69.342  ; 8994

AX-89817194:ph3        69.972  ; 8995

AX-89847704:ph3        70.273  ; 8996

AX-89823889:ph3        71.407  ; 8997

AX-89881025:ph3        72.255  ; 8998

AX-89847668:ph3        72.532  ; 8999

AX-89847670:ph3        72.554  ; 9000

AX-89885532:ph3        73.090  ; 9001

AX-89904684:ph3        73.240  ; 9002

AX-89847675:ph3        73.367  ; 9003

AX-89784242:ph3        73.644  ; 9004

AX-89847679:ph3        73.921  ; 9005

AX-89848271:ph3        74.199  ; 9006

AX-89848272:ph3        74.199  ; 9007

AX-89791258:ph3        77.196  ; 9008

AX-89848731:ph3        77.346  ; 9009

AX-89791278:ph3        77.473  ; 9010

AX-89882681:ph3        78.424  ; 9011

AX-89787975:ph3        78.724  ; 9012

AX-89882774:ph3        78.724  ; 9013

AX-89825701:ph3        79.002  ; 9014

AX-89825703:ph3        79.002  ; 9015

AX-89904865:ph3        79.832  ; 9016

AX-89890206:ph3        80.673  ; 9017

AX-89832996:ph3        80.673  ; 9018

AX-89832990:ph3        81.105  ; 9019

